date,open,high,low,close,volume,amount
2022-01-04,8.285,8.289,8.207,8.265,206224800.0,1699387519.0
2022-01-05,8.26,8.26,8.091,8.103,284058967.0,2310417706.0
2022-01-06,8.058,8.126,8.043,8.113,204276853.0,1653859915.0
2022-01-07,8.115,8.145,8.061,8.072,191615562.0,1552847587.0
2022-01-10,8.055,8.086,8.011,8.073,90091782.0,725935764.0
2022-01-11,8.078,8.096,8.003,8.026,155784803.0,1251807933.0
2022-01-12,8.03,8.088,8.03,8.081,100738500.0,812157874.0
2022-01-13,8.085,8.092,7.981,7.991,208807739.0,1673203342.0
2022-01-14,7.95,8.015,7.935,7.953,224377600.0,1789294927.0
2022-01-17,7.953,8.059,7.952,8.032,175248381.0,1406417269.0
2022-01-18,8.035,8.072,8.002,8.046,137528331.0,1106419477.0
2022-01-19,8.04,8.076,7.959,8.0,252890610.0,2024391712.0
2022-01-20,7.998,8.025,7.915,7.937,297617399.0,2365807442.0
2022-01-21,7.93,7.933,7.836,7.853,442061200.0,3477083561.0
2022-01-24,7.805,7.876,7.786,7.843,185072620.0,1450597482.0
2022-01-25,7.828,7.837,7.579,7.586,306011159.0,2356173873.0
2022-01-26,7.6,7.638,7.561,7.614,216979460.0,1650845863.0
2022-01-27,7.608,7.614,7.419,7.432,237543289.0,1780796507.0
2022-01-28,7.46,7.509,7.306,7.381,378712500.0,2809059610.0
2022-02-07,7.45,7.522,7.45,7.487,328461760.0,2459926184.0
2022-02-08,7.494,7.58,7.415,7.576,157123862.0,1179424303.0
2022-02-09,7.589,7.689,7.565,7.68,172917000.0,1321293966.0
2022-02-10,7.674,7.707,7.639,7.679,143512857.0,1101643801.0
2022-02-11,7.656,7.686,7.574,7.587,194082600.0,1478632844.0
2022-02-14,7.545,7.612,7.501,7.522,246839000.0,1861943494.0
2022-02-15,7.529,7.594,7.508,7.588,215562929.99999997,1628872819.0
2022-02-16,7.619,7.629,7.578,7.604,178419800.0,1357108872.0
2022-02-17,7.599,7.645,7.556,7.606,149608480.0,1137120585.0
2022-02-18,7.58,7.68,7.567,7.674,157798958.0,1206212414.0
2022-02-21,7.675,7.716,7.661,7.708,162720527.0,1250962712.0
2022-02-22,7.665,7.667,7.57,7.622,164161399.0,1250000229.0
2022-02-23,7.622,7.735,7.622,7.735,224145117.0,1729008704.0
2022-02-24,7.702,7.742,7.523,7.602,329318100.0,2512995913.0
2022-02-25,7.659,7.755,7.642,7.656,239998356.99999997,1847311426.0
2022-02-28,7.66,7.7,7.604,7.695,157855723.0,1208520653.0
2022-03-01,7.706,7.739,7.673,7.715,199772700.0,1538760660.0
2022-03-02,7.697,7.725,7.661,7.718,141174813.0,1086745038.0
2022-03-03,7.756,7.762,7.679,7.709,150953486.0,1164653856.0
2022-03-04,7.662,7.733,7.627,7.656,161602800.0,1238159476.0
2022-03-07,7.64,7.64,7.447,7.481,209924400.0,1579102028.0
2022-03-08,7.481,7.489,7.201,7.204,464711820.0,3399613805.0
2022-03-09,7.23,7.26,6.812,7.079,628344697.0,4426199771.0
2022-03-10,7.18,7.261,7.16,7.192,402996071.0,2904673021.0
2022-03-11,7.106,7.298,7.04,7.294,299120037.0,2136478444.0000002
2022-03-14,7.225,7.299,7.101,7.103,313472120.0,2257638006.0
2022-03-15,7.053,7.08,6.682,6.684,569013890.0,3921764225.0
2022-03-16,6.793,6.956,6.533,6.919,603900324.0,4076905076.0
2022-03-17,7.0,7.156,6.97,7.032,348103213.0,2456378356.0
2022-03-18,7.001,7.113,6.983,7.104,220402493.00000003,1556376881.0
2022-03-21,7.12,7.167,7.046,7.131,421916171.0,2999146851.0
2022-03-22,7.117,7.195,7.081,7.133,147859811.0,1053909767.0
2022-03-23,7.156,7.219,7.128,7.181,122081593.0,875721491.0
2022-03-24,7.142,7.173,7.095,7.126,107459871.0,765596974.0
2022-03-25,7.124,7.16,7.033,7.035,112602230.0,798976885.0
2022-03-28,6.997,7.109,6.941,7.059,110825100.0,778955964.0
2022-03-29,7.06,7.09,7.001,7.021,125852279.0,885921078.0
2022-03-30,7.045,7.178,7.045,7.173,228541710.0,1628592114.0
2022-03-31,7.151,7.166,7.099,7.111,134581308.0,959399372.0
2022-04-01,7.055,7.171,7.055,7.16,182142157.0,1299501161.0
2022-04-06,7.15,7.15,7.047,7.144,128783211.00000001,914815528.0
2022-04-07,7.118,7.147,6.98,6.982,194888300.0,1373140092.0
2022-04-08,6.996,7.009,6.866,7.005,141805133.0,986420338.0
2022-04-11,6.96,6.98,6.75,6.782,188235000.0,1287034332.0
2022-04-12,6.779,6.905,6.71,6.893,247809731.0,1693823369.0
2022-04-13,6.86,6.888,6.79,6.793,143248700.0,978040348.0
2022-04-14,6.83,6.93,6.814,6.883,147280078.0,1012513882.0
2022-04-15,6.852,6.889,6.795,6.821,113224800.0,774875881.0
2022-04-18,6.76,6.863,6.713,6.827,159900400.0,1089080086.0
2022-04-19,6.825,6.867,6.803,6.849,121372273.0,829972014.0
2022-04-20,6.85,6.863,6.68,6.691,128694104.0,869041433.0
2022-04-21,6.68,6.706,6.459,6.485,216186194.0,1422305107.0
2022-04-22,6.46,6.523,6.365,6.446,237327841.0,1529016193.0
2022-04-25,6.347,6.358,6.018,6.025,343945700.0,2123807687.0
2022-04-26,6.038,6.118,5.879,5.915,347974417.0,2084616630.0
2022-04-27,5.913,6.117,5.81,6.114,418770258.0,2492446853.0
2022-04-28,6.06,6.142,6.0,6.097,343321822.0,2087151321.0
2022-04-29,6.113,6.348,6.11,6.347,335214244.0,2092603223.0
2022-05-05,6.324,6.444,6.319,6.391,228859300.0,1460696468.0
2022-05-06,6.26,6.327,6.23,6.248,303672200.0,1903682801.0
2022-05-09,6.227,6.325,6.216,6.303,250440300.0,1575316630.0
2022-05-10,6.23,6.42,6.192,6.409,191779830.0,1216140275.0
2022-05-11,6.409,6.606,6.401,6.452,369778699.0,2415729829.0
2022-05-12,6.432,6.513,6.397,6.457,145056796.0,936570549.0
2022-05-13,6.474,6.534,6.446,6.531,140778030.0,914249490.0
2022-05-16,6.575,6.595,6.483,6.511,191454007.0,1248694466.0
2022-05-17,6.513,6.548,6.447,6.546,135261800.0,880119851.0
2022-05-18,6.543,6.585,6.507,6.524,160792190.0,1051132345.0
2022-05-19,6.45,6.586,6.44,6.585,187798315.0,1223974671.0
2022-05-20,6.596,6.693,6.581,6.687,188009527.0,1247571360.0
2022-05-23,6.7,6.728,6.652,6.715,137421896.0,918724341.0
2022-05-24,6.704,6.717,6.48,6.486,251397834.0,1663286713.0
2022-05-25,6.48,6.591,6.473,6.59,180845524.0,1181807603.0
2022-05-26,6.582,6.691,6.502,6.666,192129597.0,1270608591.0
2022-05-27,6.68,6.724,6.604,6.666,133325248.0,889893298.0
2022-05-30,6.68,6.704,6.615,6.702,95052780.0,634000870.0
2022-05-31,6.691,6.825,6.655,6.807,254174112.0,1720173651.0
2022-06-01,6.795,6.828,6.736,6.8,141565729.0,962082988.0
2022-06-02,6.788,6.892,6.762,6.882,150736524.0,1031916645.0
2022-06-06,6.864,7.017,6.864,6.991,242250398.0,1687855264.0
2022-06-07,6.989,7.009,6.95,6.987,159219943.0,1111826497.0
2022-06-08,6.988,7.055,6.919,7.036,169830800.0,1187593012.0
2022-06-09,7.02,7.04,6.882,6.951,150809017.0,1051177648.0
2022-06-10,6.908,7.089,6.908,7.078,218145617.0,1532290997.0
2022-06-13,7.039,7.085,6.987,7.057,170215800.0,1198121604.0
2022-06-14,7.002,7.135,6.87,7.129,258285900.0,1807912725.0
2022-06-15,7.125,7.27,7.09,7.099,214759659.0,1541771500.0
2022-06-16,7.115,7.195,7.09,7.11,202253315.0,1444896548.0
2022-06-17,7.079,7.195,7.007,7.178,228953943.00000003,1631817428.0
