signal_id,name,namespace,registry_category,frequency,status,config_json,output_key,s001_reference_function,observed_days,primary_state_count,primary_value_counts_json,full_value_counts_json,error_type,error
,cat_macd_V230518,cat,trader,,EXCLUDED_SCOPE,,,False,0,0,{},{},ScopeExclusion,"requires position, event, or multi-frequency trader state"
,cat_macd_V230520,cat,trader,,EXCLUDED_SCOPE,,,False,0,0,{},{},ScopeExclusion,"requires position, event, or multi-frequency trader state"
,cxt_intraday_V230701,cxt,trader,,EXCLUDED_SCOPE,,,False,0,0,{},{},ScopeExclusion,"requires position, event, or multi-frequency trader state"
,cxt_zhong_shu_gong_zhen_V221221,cxt,trader,,EXCLUDED_SCOPE,,,False,0,0,{},{},ScopeExclusion,"requires position, event, or multi-frequency trader state"
,pos_bar_stop_V230524,pos,trader,,EXCLUDED_SCOPE,,,False,0,0,{},{},ScopeExclusion,"requires position, event, or multi-frequency trader state"
,pos_fix_exit_V230624,pos,trader,,EXCLUDED_SCOPE,,,False,0,0,{},{},ScopeExclusion,"requires position, event, or multi-frequency trader state"
,pos_fx_stop_V230414,pos,trader,,EXCLUDED_SCOPE,,,False,0,0,{},{},ScopeExclusion,"requires position, event, or multi-frequency trader state"
,pos_holds_V230414,pos,trader,,EXCLUDED_SCOPE,,,False,0,0,{},{},ScopeExclusion,"requires position, event, or multi-frequency trader state"
,pos_holds_V230807,pos,trader,,EXCLUDED_SCOPE,,,False,0,0,{},{},ScopeExclusion,"requires position, event, or multi-frequency trader state"
,pos_holds_V240428,pos,trader,,EXCLUDED_SCOPE,,,False,0,0,{},{},ScopeExclusion,"requires position, event, or multi-frequency trader state"
,pos_holds_V240608,pos,trader,,EXCLUDED_SCOPE,,,False,0,0,{},{},ScopeExclusion,"requires position, event, or multi-frequency trader state"
,pos_ma_V230414,pos,trader,,EXCLUDED_SCOPE,,,False,0,0,{},{},ScopeExclusion,"requires position, event, or multi-frequency trader state"
,pos_profit_loss_V230624,pos,trader,,EXCLUDED_SCOPE,,,False,0,0,{},{},ScopeExclusion,"requires position, event, or multi-frequency trader state"
,pos_status_V230808,pos,trader,,EXCLUDED_SCOPE,,,False,0,0,{},{},ScopeExclusion,"requires position, event, or multi-frequency trader state"
,pos_stop_V240331,pos,trader,,EXCLUDED_SCOPE,,,False,0,0,{},{},ScopeExclusion,"requires position, event, or multi-frequency trader state"
