variant,window,strategy_return,sharpe,max_drawdown,exposure,trade_count,start,end,return_delta_vs_baseline,return_delta_vs_ex04
weights_only,2023H1,0.05986335061671544,0.8895205169800665,-0.08269227362255716,0.7966101694915254,17,2023-01-03,2023-06-30,0.008914946600532936,0.04027081132382282
weights_only,2023H2,-0.06761644469638173,-1.4857061211381033,-0.08580332791315448,0.4032258064516129,15,2023-07-03,2023-12-29,0.03870382456691235,0.0010043908299589566
weights_only,2024H1,-0.08809673332419898,-1.1495713126993765,-0.11218947015927683,0.5213675213675214,14,2024-01-02,2024-06-28,0.006758635085477693,-0.05587443090845401
weights_only,2024H2,0.21746062004085065,1.2164372609149305,-0.18231540565177784,0.464,15,2024-07-01,2024-12-31,0.037301125705961,-0.04492128893869407
weights_only,2025H1,0.06829531243389919,1.0120613333356092,-0.11422267095201222,0.6495726495726496,13,2025-01-02,2025-06-30,0.03346071393307448,0.025562479129428217
weights_only,2025H2,0.4676880893826685,3.265992828751555,-0.10762651461154682,0.7857142857142857,9,2025-07-01,2025-12-31,0.0014669546120764654,0.09457456799814112
thresholds_only,2021H1,0.24730289179426856,3.1127109567916733,-0.07616618755034055,0.6016949152542372,5,2021-01-04,2021-06-30,-0.0016350998776759607,0.054235116484578905
thresholds_only,2021H2,-0.15333994011934604,-2.5008471751740355,-0.17690462499575932,0.552,21,2021-07-01,2021-12-31,0.04451990951147844,0.014608675131926874
thresholds_only,2022H1,0.04630794366340796,0.7254985472584836,-0.0854180176971977,0.4700854700854701,13,2022-01-04,2022-06-30,0.11108496881591734,0.0
thresholds_only,2022H2,0.031168259974083456,0.5734616952061417,-0.07853962266736636,0.504,11,2022-07-01,2022-12-30,0.03568121602934604,0.0
thresholds_only,2023H1,0.057785187184133946,0.8636426523168939,-0.08269227362255682,0.7627118644067796,17,2023-01-03,2023-06-30,0.0068367831679514435,0.03819264789124133
thresholds_only,2023H2,-0.06316441879272161,-1.4591199922717328,-0.07354883540959278,0.3709677419354839,13,2023-07-03,2023-12-29,0.043155850470572465,0.005456416733619074
thresholds_only,2024H1,-0.04020162383281167,-0.5406359233230692,-0.08766782107561466,0.47863247863247865,12,2024-01-02,2024-06-28,0.054653744576865004,-0.007979321417066698
thresholds_only,2024H2,0.2623819089795447,1.3922634383082284,-0.1823154056517774,0.432,13,2024-07-01,2024-12-31,0.08222241464465507,0.0
thresholds_only,2025H1,0.09300893869497417,1.3363122746902345,-0.09463717720500431,0.6153846153846154,11,2025-01-02,2025-06-30,0.058174340194149465,0.0502761053905032
thresholds_only,2025H2,0.37970246660728724,2.8284594936460628,-0.13690346751518845,0.7301587301587301,9,2025-07-01,2025-12-31,-0.08651866816330478,0.006588945222759879
baseline_entry_ex04_exit,2021H1,0.1946317779158746,2.6194654624229403,-0.070445854346318,0.635593220338983,7,2021-01-04,2021-06-30,-0.05430621375606992,0.0015640026061849444
baseline_entry_ex04_exit,2021H2,-0.23089259611399338,-3.6551574676039698,-0.23712533811960324,0.64,31,2021-07-01,2021-12-31,-0.033032746483168896,-0.06294398086272046
baseline_entry_ex04_exit,2022H1,0.03063302122572198,0.5204841369105536,-0.0830829147636587,0.48717948717948717,13,2022-01-04,2022-06-30,0.09541004637823136,-0.01567492243768598
baseline_entry_ex04_exit,2022H2,0.011697082016634441,0.27123098105323173,-0.09410443425020654,0.552,15,2022-07-01,2022-12-30,0.016210038071897026,-0.019471177957449015
baseline_entry_ex04_exit,2023H1,0.015180985889677645,0.31651676516703053,-0.09491833807708028,0.8135593220338984,23,2023-01-03,2023-06-30,-0.03576741812650486,-0.004411553403214974
baseline_entry_ex04_exit,2023H2,-0.06761644469638173,-1.4857061211381033,-0.08580332791315448,0.4032258064516129,15,2023-07-03,2023-12-29,0.03870382456691235,0.0010043908299589566
baseline_entry_ex04_exit,2024H1,-0.08733041304016054,-1.1172302082004588,-0.10480862252402146,0.5470085470085471,16,2024-01-02,2024-06-28,0.00752495536951614,-0.05510811062441556
baseline_entry_ex04_exit,2024H2,0.25576480956552494,1.356264785516783,-0.18231540565177773,0.488,15,2024-07-01,2024-12-31,0.0756053152306353,-0.006617099414019778
baseline_entry_ex04_exit,2025H1,0.042732833304470974,0.6877953718266402,-0.09722267687676034,0.5811965811965812,17,2025-01-02,2025-06-30,0.007898234803646265,0.0
baseline_entry_ex04_exit,2025H2,0.45921900860551146,3.223191672515295,-0.10762651461154682,0.7619047619047619,11,2025-07-01,2025-12-31,-0.007002126165080558,0.0861054872209841
ex04_entry_baseline_exit,2021H1,0.24730289179426856,3.1127109567916733,-0.07616618755034055,0.6016949152542372,5,2021-01-04,2021-06-30,-0.0016350998776759607,0.054235116484578905
ex04_entry_baseline_exit,2021H2,-0.15333994011934604,-2.5008471751740355,-0.17690462499575932,0.552,21,2021-07-01,2021-12-31,0.04451990951147844,0.014608675131926874
ex04_entry_baseline_exit,2022H1,-0.05055319640768419,-0.5347462370533154,-0.1690756526185786,0.5128205128205128,13,2022-01-04,2022-06-30,0.014223828744825195,-0.09686114007109214
ex04_entry_baseline_exit,2022H2,0.014646242613518545,0.3187889314805502,-0.0933038322947507,0.512,11,2022-07-01,2022-12-30,0.01915919866878113,-0.01652201736056491
ex04_entry_baseline_exit,2023H1,0.047771944003002,0.7356459088063126,-0.0913757241448695,0.7711864406779662,15,2023-01-03,2023-06-30,-0.0031764600131805043,0.02817940471010938
ex04_entry_baseline_exit,2023H2,-0.10205304973954321,-2.303550128831378,-0.11200640272741391,0.4435483870967742,13,2023-07-03,2023-12-29,0.004267219523750865,-0.03343221421320253
ex04_entry_baseline_exit,2024H1,-0.04020162383281167,-0.5406359233230692,-0.08766782107561466,0.47863247863247865,12,2024-01-02,2024-06-28,0.054653744576865004,-0.007979321417066698
ex04_entry_baseline_exit,2024H2,0.22984117420075578,1.2635087605199542,-0.1823154056517774,0.472,13,2024-07-01,2024-12-31,0.049681679865866135,-0.03254073477878894
ex04_entry_baseline_exit,2025H1,0.03483459850082471,0.5727132492529325,-0.12500239103219846,0.6581196581196581,13,2025-01-02,2025-06-30,0.0,-0.007898234803646265
ex04_entry_baseline_exit,2025H2,0.37970246660728724,2.8284594936460628,-0.13690346751518845,0.7301587301587301,9,2025-07-01,2025-12-31,-0.08651866816330478,0.006588945222759879
