factor,weight
raw__30m__cxt_bi_status_V230101,0.05947026720107206
raw__30m__cxt_third_buy_V230228__di_1,0.05961894286907473
raw__daily__cxt_bi_status_V230101,0.04757621376085765
raw__daily__cxt_five_bi_V230619__di_1,0.05976947698292745
raw__daily__cxt_seven_bi_V230620__di_1,0.04757621376085765
raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_5,0.08370999965363214
raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_10,0.07136432064128646
raw__daily__tas_ma_base_V221101__di_1__ma_type_SMA__timeperiod_20,0.07136432064128646
raw__daily__tas_macd_base_V221028__di_1__fastperiod_12__signalperiod_9__slowperiod_26,0.07136432064128646
raw__daily__vol_window_V230731__di_1__m_30__n_10__w_5,0.19030485504343062
raw__daily__pressure_support_V240406__di_1__w_20,0.19030485504343062
raw__weekly__cxt_bi_status_V230101,0.04757621376085765
