entry_signal_date,entry_date,year,entry_price,three_session_return,negative_session_count_3,path_monotonicity_3,largest_move_share_3,volatility_20,volatility_bucket,downtrend_60,exit_date_3,exit_price_3,net_return_3,exit_date_4,exit_price_4,net_return_4,exit_date_5,exit_price_5,net_return_5,exit_date_6,exit_price_6,net_return_6,exit_date_7,exit_price_7,net_return_7,exit_date_8,exit_price_8,net_return_8,exit_date_10,exit_price_10,net_return_10,band_return_4_6
2021-01-28,2021-01-29,2021,0.912,-0.034115138592750394,3.0,0.9911176860933026,0.5659507241612366,0.21399677128464192,MEDIUM,True,2021-02-03,0.907,-0.006476476673943576,2021-02-04,0.888,-0.027288987085404615,2021-02-05,0.873,-0.04371991635761052,2021-02-08,0.86,-0.057960055060189086,2021-02-09,0.862,-0.05576926449056163,2021-02-10,0.89,-0.02509819651577705,2021-02-19,0.912,-0.0009995002498748295,-0.042989652834401405
2021-02-26,2021-03-01,2021,0.897,-0.026086956521739202,3.0,0.9925515474682226,0.5853509126094651,0.23323111104059557,MEDIUM,True,2021-03-04,0.921,0.025729610111332457,2021-03-05,0.906,0.009023916135577847,2021-03-08,0.924,0.029070748906483423,2021-03-09,0.89,-0.008795490771893788,2021-03-10,0.873,-0.02772861061108234,2021-03-11,0.86,-0.04220687872340301,2021-03-15,0.88,-0.019932620089063602,0.009766391423389162
2021-03-10,2021-03-11,2021,0.86,-0.06324972737186485,3.0,0.979803616072417,0.43319443605762775,0.27243978025809884,HIGH,True,2021-03-16,0.877,0.01874818404751144,2021-03-17,0.884,0.026879583464082035,2021-03-18,0.884,0.026879583464082035,2021-03-19,0.882,0.024556326487918945,2021-03-22,0.885,0.02804121195216358,2021-03-23,0.903,0.048950524737631396,2021-03-25,0.875,0.016424927071348128,0.02610516447202767
2021-04-27,2021-04-28,2021,0.906,-0.011943539630836053,3.0,0.9964359582598191,0.5452867008658882,0.1347418939314879,LOW,False,2021-05-06,0.904,-0.0032047993663210095,2021-05-07,0.912,0.005616397099463821,2021-05-10,0.902,-0.0054100984827673,2021-05-11,0.896,-0.012025995832105951,2021-05-12,0.899,-0.008718047157436626,2021-05-13,0.91,0.0034110979830175303,2021-05-17,0.924,0.0188481917981409,-0.0039398990718031435
2022-08-26,2022-08-29,2022,1.009,-0.04490177736202061,3.0,0.9925770310505211,0.8064688377285456,0.21632300322474485,MEDIUM,False,2022-09-01,0.983,-0.026741832255329,2022-09-05,2.698,1.6712619904121286,2022-09-06,2.725,1.6979944121101003,2022-09-07,2.759,1.7316574616556943,2022-09-08,2.786,1.758389883353666,2022-09-09,2.76,1.7326475513482116,2022-09-14,2.73,1.7029448605726873,1.7003046213926412
2022-09-15,2022-09-16,2022,2.626,-0.04514265077645363,3.0,0.9893391616333603,0.6826113939987856,6.281466643151433,HIGH,False,2022-09-21,2.586,-0.01621656802977023,2022-09-22,2.568,-0.023064248530723086,2022-09-23,2.597,-0.012031874390298958,2022-09-26,2.527,-0.0386617430051156,2022-09-27,2.516,-0.04284643664458687,2022-09-28,2.55,-0.029911929031675832,2022-09-30,2.494,-0.05121582392352919,-0.024585955308712548
2022-11-11,2022-11-14,2022,2.652,-0.010078387458006599,2.0,0.5713979595006811,0.5314527119882025,0.22732550420779843,MEDIUM,False,2022-11-17,2.67,0.005781046128519707,2022-11-18,2.683,0.010678107401804526,2022-11-21,2.642,-0.004766470460094152,2022-11-22,2.663,0.0031441669813661033,2022-11-23,2.625,-0.011170319817466745,2022-11-24,2.628,-0.010040228754400915,2022-11-28,2.564,-0.034148838099803625,0.003018601307692159
2023-02-17,2023-02-20,2023,2.74,-0.026969481902058168,3.0,0.9937428558004175,0.6540102777417177,0.14057934403353892,LOW,False,2023-02-23,2.794,0.018688830767098263,2023-02-24,2.78,0.01358444865158659,2023-02-27,2.76,0.00629247420085588,2023-02-28,2.754,0.004104881865636623,2023-03-01,2.776,0.012126053761440492,2023-03-02,2.795,0.019053429489634732,2023-03-06,2.776,0.012126053761440492,0.007993934906026364
2023-06-08,2023-06-09,2023,2.585,-0.02562170308967593,2.0,0.9962105832994975,0.8204087156584094,0.11793202711126623,LOW,True,2023-06-14,2.627,0.015231842492680281,2023-06-15,2.644,0.02180167169800029,2023-06-16,2.648,0.023347513863957836,2023-06-19,2.673,0.03300902740119316,2023-06-20,2.686,0.0380330144405554,2023-06-21,2.686,0.0380330144405554,2023-06-27,2.588,0.00015988137459332918,0.026052737654383762
2023-07-10,2023-07-11,2023,2.627,-0.007183364839319473,2.0,0.9028197266355763,0.5244696898502996,0.13550069928421493,LOW,True,2023-07-14,2.638,0.0031836004342709057,2023-07-17,2.623,-0.0025206277713824,2023-07-18,2.621,-0.0032811915321362406,2023-07-19,2.617,-0.004802319053643922,2023-07-20,2.615,-0.005562882814397541,2023-07-21,2.578,-0.019633312388343205,2023-07-25,2.589,-0.015450211704197137,-0.003534712785720854
